"RRTR,KTR","RWAY,KTR","RRTR,WAY"
0.944512775,0.894003127,1.057794303
0.988733016,0.894525123,1.106891758
0.959860712,0.888617789,1.08274501
0.932121151,0.899575999,1.038917897
0.988220516,0.895892667,1.106401091
1.018995802,0.909708984,1.125283051
0.968140636,0.902947945,1.075126917
0.945791657,0.852853311,1.111537281
0.947891143,0.932610421,1.018563114
0.949696843,0.903169455,1.053605363
0.96811654,0.905086696,1.072662896
0.965785371,0.911757184,1.061260816
0.975880614,0.874581693,1.118833317
0.972672477,0.908029393,1.074135851
0.969209733,0.905626432,1.073115392
0.94536655,0.942009159,1.005955364
0.961153424,0.902511068,1.066552353
0.96741256,0.861994375,1.127590811
0.979652454,0.909950026,1.080910829
0.956151826,0.879442422,1.089309537
0.99281084,0.896754622,1.110915114
1.002190877,0.920555771,1.0903672
0.942607025,0.879666838,1.074285187
0.999913839,0.901899652,1.111799884
0.989535609,0.90365178,1.098584193
0.962627051,0.890103267,1.084356629
0.955356349,0.912355619,1.04915192
0.959248501,0.871175094,1.10397601
0.969635636,0.933493454,1.041274035
0.970544528,0.930537715,1.045008692
1.024208704,0.935988375,1.098210024
0.967672415,0.952747592,1.01830837
0.998764443,0.943401054,1.062718333
1.011489646,0.967368836,1.049706627
0.972273145,0.902046888,1.080831711
0.968084147,0.906109756,1.071312333
0.956132292,0.883931839,1.084134657
0.984619991,0.901310909,1.095635806
0.985060607,0.881163487,1.11924756
0.962329633,0.901166021,1.070540234
0.964771348,0.920087373,1.051795035
0.971195888,0.877570487,1.111774221
0.948074442,0.888716414,1.070621739
0.969025471,0.875676222,1.110038479
0.95422385,0.910544881,1.052282484
0.966679607,0.905121153,1.070999315
0.965263866,0.905657166,1.068673124
0.975746714,0.903637625,1.082825328
0.972573846,0.908880531,1.073137103
0.9260025,0.928956682,0.99818949
0.962134367,0.90722854,1.06316183
0.91672168,0.899377916,1.02098498
0.94772998,0.919295236,1.03405719
0.977650525,0.937343494,1.045762381
0.964177312,0.904684186,1.069181916
0.929095863,0.891596088,1.043882808
0.966850301,0.897848483,1.078843748
0.971502508,0.915841157,1.06346199
0.968171364,0.905942053,1.071614673
0.969130674,0.908623402,1.069655895
0.962624609,0.91815614,1.051684978
1.004740382,0.905131593,1.113307717
0.984421214,0.930994631,1.06112892
0.962962071,0.905313445,1.066336059
0.966892529,0.90762835,1.068136986
0.975727366,0.951403436,1.028872575
1.012664113,0.906946271,1.121484963
0.940073308,0.899002768,1.047198988
1.014110469,0.882418274,1.15487582
0.969019095,0.911578483,1.065904171
0.959177254,0.934180688,1.028977656
0.967200033,0.901494082,1.07575294
0.973250859,0.90880579,1.074997997
0.971665283,0.908042929,1.073157546
0.938333158,0.862388998,1.090822877
0.960977383,0.904662988,1.066045907
0.976609407,0.895654093,1.093456332
1.016593807,0.916736756,1.112914238
0.983142006,0.898432248,1.099850137
0.990554281,0.904128866,1.096611149
0.995911199,0.903840441,1.104948181
0.999409626,0.914883105,1.095196569
0.958474849,0.889031771,1.080354894
0.968664666,0.909765945,1.067502925
0.976233172,0.923926446,1.059778109
0.962934243,0.906868809,1.065030373
0.967643617,0.907209318,1.069888383
0.941016256,0.877392673,1.073709222
0.96313532,0.894244622,1.079007553
0.979816123,0.897475204,1.095178625
0.97840675,0.90830852,1.081274865
0.971486455,0.886740534,1.09922783
1.009953657,0.927400997,1.093785953
0.958392537,0.900349146,1.067655918
0.948244197,0.858245753,1.10709717
0.981324373,0.876936416,1.123274107
0.982750792,0.922846872,1.068042406
0.97561747,0.90360988,1.082586479
0.95435107,0.881400426,1.084464036
1.007729071,0.923494782,1.095354925
