"RRTR,KTR","RWAY,KTR","RRTR,WAY"
0.967799568,0.904170226,1.073256788
0.969779304,0.908589019,1.070400027
0.968685046,0.905868481,1.072247508
0.969547788,0.903980554,1.075462858
0.970388429,0.90448238,1.075851751
0.969576877,0.904164026,1.075336248
0.971871056,0.906519121,1.075094275
0.967626641,0.904955658,1.072209932
0.969068774,0.904984815,1.073734703
0.97043595,0.902531748,1.078265408
0.971476488,0.903790508,1.07795196
0.972080351,0.905315877,1.076781426
0.970136418,0.903485504,1.076772802
0.969000435,0.904615289,1.074120046
0.970738568,0.907744028,1.072383633
0.968127822,0.905620619,1.071932948
0.970869168,0.903120535,1.07797728
0.969944466,0.904930537,1.074852375
0.970308062,0.904832842,1.075332225
0.969574015,0.904448132,1.075001943
0.970625003,0.905420328,1.074997592
0.971319583,0.904864238,1.076513359
0.970899462,0.905446601,1.075299523
0.970770836,0.903959359,1.076948682
0.969779615,0.905374292,1.074069608
0.970186063,0.905171928,1.07478006
0.970724969,0.905076601,1.07560827
0.971197761,0.903660924,1.077808762
0.969418458,0.903283673,1.076155379
0.970118738,0.90443431,1.075617449
0.966774747,0.903094642,1.073428095
0.970263186,0.904935678,1.075218777
0.969819932,0.903981072,1.075709679
0.96849604,0.903006208,1.0754952
0.968955097,0.905106688,1.073463432
0.969909242,0.906022956,1.073464205
0.969816178,0.903953783,1.075808532
0.968624451,0.904032568,1.074320467
0.969517959,0.904522534,1.074784673
0.968580191,0.903940999,1.074476733
0.965008061,0.904668612,1.069588087
0.968693599,0.903964935,1.074576123
0.969670463,0.902557237,1.077310898
0.966478912,0.905029449,1.070683552
0.967094408,0.905826035,1.070581885
0.968091946,0.904938725,1.072719499
0.96717786,0.904251349,1.072459871
0.97117464,0.905958691,1.075003641
0.970309638,0.904650588,1.075631626
0.968228138,0.905585142,1.072133166
0.972655394,0.90441054,1.078463408
0.969100155,0.903683741,1.0753872
0.972326274,0.907264324,1.074755153
0.971208767,0.905756996,1.07530081
0.971025171,0.905534492,1.075265611
0.971462253,0.907165943,1.073950046
0.970100592,0.903040634,1.077327584
0.969373751,0.905981448,1.072914482
0.970472538,0.905739891,1.074417707
0.968324339,0.904467495,1.073584319
0.966302822,0.904039822,1.071701817
0.967707824,0.903803442,1.073621905
0.967695952,0.90230099,1.07534051
0.97009647,0.904014692,1.076037546
0.969199519,0.903044143,1.076200312
0.970144685,0.906594513,1.073012364
0.970615365,0.905766379,1.074602248
0.968255212,0.903353323,1.074774602
0.970510908,0.905164245,1.075146711
0.97030058,0.905231285,1.074806552
0.968142777,0.90376545,1.074126093
0.970614275,0.904872136,1.075666874
0.97117476,0.906895729,1.073838373
0.970316385,0.904542853,1.075701953
0.967273475,0.903665382,1.073284896
0.969861287,0.906745238,1.07260954
0.970503134,0.902183927,1.0786685
0.966835693,0.903539178,1.072851443
0.969478116,0.905713911,1.073149209
0.970341457,0.905470474,1.074615489
0.971948732,0.903689942,1.078524948
0.970686327,0.906077087,1.074411013
0.969778865,0.905113797,1.074441765
0.970103294,0.904587222,1.075423238
0.972017172,0.907264239,1.074441316
0.969669474,0.90338605,1.076341487
0.970581927,0.906630293,1.073490689
0.968271779,0.902800875,1.075380445
0.970341436,0.903401007,1.077136344
0.969625599,0.905133221,1.074127893
0.970808571,0.905397588,1.075187488
0.972665566,0.904151396,1.078805365
0.971664948,0.90480607,1.076867493
0.968620397,0.904219356,1.074111095
0.969266402,0.904999034,1.074007365
0.968677037,0.905830181,1.07228585
0.968472825,0.904992676,1.073110505
0.967545885,0.9054802,1.071464007
0.968523333,0.904491472,1.073703688
0.96803711,0.903118759,1.074772124
