res1,res2,pair,ind1,ind2,roh1,roh2,roh3,ind1roh1,ind1roh2,ind2roh1,ind2roh2
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW5,0,0,0,418514715,315997124,301190312,241966240
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW8,0,0,0,418514715,315997124,314931496,275076038
Corbett,Zoo,Corbett-Zoo,BEN_NOR2,ZSB_04,251328,0,0,418514715,315997124,370211960,302302125
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW18,873488,0,0,418514715,315997124,281506214,242877521
Corbett,Periyar,Corbett-Periyar,BEN_NOR2,BEN_SI5,1768459,0,0,418514715,315997124,388807649,344660143
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI19,2209532,0,0,418514715,315997124,351322149,241812071
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW9,1120315,1120315,0,418514715,315997124,259710267,216389572
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW10,1378342,1378342,0,418514715,315997124,365458206,328923565
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW17,1476772,1476772,0,418514715,315997124,286658737,256140006
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW13,2325669,2325669,0,418514715,315997124,389020649,344174628
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW12,2985960,2985960,0,418514715,315997124,262764295,227052846
Corbett,Kaziranga,Corbett-Kaziranga,BEN_NOR2,BEN_NE3,4068532,3134707,0,418514715,315997124,348824990,277485474
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI1,5468761,3800855,0,418514715,315997124,443001240,345341326
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI3,4989847,3867159,0,418514715,315997124,430214378,345974583
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW6,4009394,4009394,0,418514715,315997124,294235530,248527765
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW55,5038818,4161057,0,418514715,315997124,592057634,534097691
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW57,5088772,4300698,0,418514715,315997124,715528898,638361097
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI8,5582281,4424631,0,418514715,315997124,379454962,300308119
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW14,4612088,4612088,0,418514715,315997124,222305063,177541519
Corbett,Zoo,Corbett-Zoo,BEN_NOR2,ZSB_03,5648404,4695573,0,418514715,315997124,305927069,241409256
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI5,7755100,4760666,0,418514715,315997124,377525892,289122614
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI4,6976515,5735331,0,418514715,315997124,351998277,270707157
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI6,7382701,6481395,0,418514715,315997124,406156567,304633087
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI6,8434993,7598374,0,418514715,315997124,406301442,319674486
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW19,10489192,8790786,0,418514715,315997124,277759581,232322355
Corbett,Zoo,Corbett-Zoo,BEN_NOR2,ZSB_02,9777395,9777395,0,418514715,315997124,338557583,260820720
Corbett,Wayanad,Corbett-Wayanad,BEN_NOR2,BEN_SI9,16090596,10659622,0,418514715,315997124,442912449,339499389
Corbett,Kanha,Corbett-Kanha,BEN_NOR2,BEN_CI18,14391095,11390629,0,418514715,315997124,395198516,280261230
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW24,13242499,13242499,0,418514715,315997124,347774688,301627698
Corbett,Ranthambore,Corbett-Ranthambore,BEN_NOR2,BEN_NW3,14573212,13783158,0,418514715,315997124,248403143,207797688
